ip                  	string              	                    
record_date         	string              	                    
log_time            	string              	                    
action              	int                 	                    
uuid                	string              	                    
dev_mac             	string              	                    
partner_code        	string              	                    
version             	string              	                    
user_ts             	string              	                    
resolution          	string              	                    
os_version          	string              	                    
time_length         	int                 	                    
play_length         	int                 	                    
album_id            	string              	                    
album_name          	string              	                    
video_id            	string              	                    
video_ver           	int                 	                    
chn_id              	string              	                    
topic_id            	string              	                    
src_id              	int                 	                    
cp_id               	int                 	                    
source_id           	int                 	                    
position            	int                 	                    
play_order          	int                 	                    
cdn_type            	string              	                    
video_type          	int                 	                    
play_type           	int                 	                    
play_offset         	int                 	                    
block_msec          	bigint              	                    
block_type          	int                 	                    
key_word            	string              	                    
search_type         	int                 	                    
tag_ids             	string              	                    
collect_type        	int                 	                    
update_ver          	string              	                    
update_mode         	int                 	                    
result              	int                 	                    
user_agent          	string              	                    
serial_number       	string              	                    
operation_type      	int                 	                    
pid                 	int                 	                    
payment_type        	int                 	                    
payment_account     	string              	                    
chn_name            	string         
//     	                    
logdate             	string              	                    
partner             	string 
